4644.06	4647.83	4350.22	4390.31	4491.79
4765.07	4644.06	4491.79	4597.31	4580.13
4925.23	4765.07	4580.13	4583.02	4690.17
4976.52	4925.23	4690.17	4735.11	4448.64
4719.78	4976.52	4448.64	4921.85	4397.74
4621.01	4719.78	4397.74	4573.8	4098.58
4496.67	4621.01	4098.58	4612.92	4004.62
4660.04	4496.67	4004.62	4267.45	4401.53
4690.55	4660.04	4401.53	4409.08	4493.2
4699.59	4690.55	4493.2	4618.71	4130.88
4402.15	4699.59	4130.88	4635.6	4185.33
4338.08	4402.15	4185.33	4326.45	4032.15
4364.42	4338.08	4032.15	4335.13	4134.62
4387.76	4364.42	4134.62	4245.89	4074.97
4174.58	4387.76	4074.97	4217.9	3752.01
3930.69	4174.58	3752.01	4158.92	3218.98
3824.43	3930.69	3218.98	3870.29	2979.88
3893.67	3824.43	2979.88	3243.08	3551.83
3796.56	3893.67	3551.83	3713.76	3485.83
4122.75	3796.56	3485.83	3698.92	3689.0
4120.71	4122.75	3689.0	3689.61	3852.22
4053.04	4120.71	3852.22	4100.28	3846.76
3912.79	4053.04	3846.76	3907.96	3576.54
3753.51	3912.79	3576.54	3882.16	3505.81
3813.39	3753.51	3505.81	3617.27	3563.18
3790.89	3813.39	3563.18	3600.83	3633.88
3971.5	3790.89	3633.88	3788.02	3665.67
3982.31	3971.5	3665.67	3667.52	3858.75
4232.35	3982.31	3858.75	3932.83	3882.08
4274.64	4232.35	3882.08	3892.7	4112.88
4237.51	4274.64	4112.88	4212.2	4030.37
4383.27	4237.51	4030.37	4195.65	4164.25
4412.62	4383.27	4164.25	4172.79	4258.32
4477.38	4412.62	4258.32	4360.62	4364.67
4435.99	4477.38	4364.67	4403.09	4230.73
4355.29	4435.99	4230.73	4401.32	4183.57
4365.76	4355.29	4183.57	4314.18	4143.35
4422.15	4365.76	4143.35	4218.66	4296.93
4472.92	4422.15	4296.93	4321.44	4319.48
4622.87	4472.92	4319.48	4371.94	4419.36
4875.38	4622.87	4419.36	4435.81	4556.15
4930.0	4875.38	4556.15	4611.7	4722.81
4874.89	4930.0	4722.81	4777.49	4718.6
5432.63	4874.89	4718.6	4763.36	4814.98
5852.78	5432.63	4814.98	4824.2	5391.97
5839.62	5852.78	5391.97	5432.62	5568.86
5862.69	5839.62	5568.86	5637.26	5448.22
5795.33	5862.69	5448.22	5824.71	5576.1
5773.32	5795.33	5576.1	5677.35	5521.09
5601.3	5773.32	5521.09	5759.25	5114.87
5737.41	5601.3	5114.87	5598.58	5517.62
6075.32	5737.41	5517.62	5576.71	5611.39
6187.2	6075.32	5611.39	5698.62	5874.54
6070.56	6187.2	5874.54	5993.11	5722.98
6048.98	6070.56	5722.98	6006.65	5644.22
5904.63	6048.98	5644.22	5982.86	5463.41
5747.96	5904.63	5463.41	5903.61	5375.64
5970.4	5747.96	5375.64	5513.08	5689.92
5997.83	5970.4	5689.92	5734.0	5692.32
5871.04	5997.83	5692.32	5887.62	5654.8
6295.43	5871.04	5654.8	5764.56	5679.37
6226.18	6295.43	5679.37	5726.61	6018.97
6467.2	6226.18	6018.97	6147.7	6090.83
6738.74	6467.2	6090.83	6124.28	6355.0
7339.91	6738.74	6355.0	6449.1	6737.77
7445.62	7339.91	6737.77	6737.78	6938.93
7492.24	7445.62	6938.93	7024.81	6957.84
7599.44	7492.24	6957.84	7146.98	7284.33
